Subject ID;Game Version;Stage;Score Lost in Stage;Score;HeadRotation;Tutorial Time;Time Stamp; ; ;Button Presses;Actions Executed;Sucessfull Hits;Hits Taken;Precision Score;Spam Index;Centered Amount; ;Astronauts Spawned;Astronauts Destroyed;Astronauts Struck;Astronauts Sucessrate; ;Aliens Spawned;Aliens Destroyed;Aliens Struck;Alien Sucessrate; ;Lasers Spawned;Lasers Destroyed;Lasers Struck;Laser Sucessrate; ;Asteroids Spawned;Asteroids Destroyed;Asteroids Struck;Asteroid Sucessrate
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Tutorial; ;1000;0;27,60986;18.10.2023 07:44:16; ; ;16;9;3;0;0,3333333;0;60; ;1;1;0;1; ;1;1;0;1; ;1;1;0;1; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;0;1000;0; ; ; ; ;0;0;0;0;0,3333333;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;2;-30;970;0; ; ; ; ;4;4;0;0;0;1;10; ;1;0;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0
 ; ;3;-25;945;0; ; ; ; ;4;3;0;0;0;0;10; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;945;0; ; ; ; ;0;0;0;0;0;0;2; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;0;945;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Final Sum; ;945;0;27,60986;18.10.2023 07:44:22; ; ;8;7;0;0;0;0,875;22; ;1;0;0;0; ;1;0;0;0; ;1;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1827794;Action Mode;Tutorial; ;1000;0;18,18286;25.10.2023 10:16:03; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;2;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;3;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1827794;Action Mode;Final Sum; ;1000;0;18,18286;25.10.2023 10:16:09; ; ;0;0;0;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1648779;Action Mode;Tutorial; ;1000;0;3,781006;25.10.2023 10:17:19; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;-15;985;0; ; ; ; ;0;0;0;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;1;0;1;0; ;0;0;0;0
 ; ;2;0;985;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;3;0;985;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;985;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;0;985;0; ; ; ; ;0;0;0;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;1;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1648779;Action Mode;Final Sum; ;985;0;3,781006;25.10.2023 10:17:45; ; ;0;0;0;1;0;0;0; ;1;0;0;0; ;0;0;0;0; ;1;0;1;0; ;1;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1522402;Action Mode;Tutorial; ;1000;0;20,05933;25.10.2023 11:31:26; ; ;17;14;1;0;0,07142857;0;0; ;0;0;0;0; ;1;1;0;1; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;0;1000;0; ; ; ; ;0;0;0;0;0,07142857;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;2;0;1000;0; ; ; ; ;0;0;0;0;0,07142857;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;3;0;1000;0; ; ; ; ;0;0;0;0;0,07142857;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;1000;0; ; ; ; ;0;0;0;0;0,07142857;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;0;1000;0; ; ; ; ;0;0;0;0;0,07142857;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1522402;Action Mode;Final Sum; ;1000;0;20,05933;25.10.2023 11:32:59; ; ;0;0;0;0;0;0;0; ;1;0;0;0; ;4;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1522402;Slow Mode;Tutorial; ;1000;0;43,63135;25.10.2023 11:33:56; ; ;27;20;4;0;0,2;0;0; ;3;3;0;1; ;1;1;0;1; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;-20;980;0; ; ; ; ;16;10;1;0;0,1;0;40; ;0;0;0;0; ;1;1;0;1; ;0;0;0;0; ;0;0;0;0
 ; ;2;0;980;0; ; ; ; ;0;0;0;0;0,1;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;3;0;980;0; ; ; ; ;0;0;0;0;0,1;0;0; ;1;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;980;0; ; ; ; ;0;0;0;0;0,1;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;0;980;0; ; ; ; ;0;0;0;0;0,1;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1522402;Slow Mode;Final Sum; ;980;0;43,63135;25.10.2023 11:35:30; ; ;16;10;1;0;0,1;0,625;40; ;2;0;0;0; ;4;1;0;1; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Tutorial; ;1000;0;24,52563;06.11.2023 13:08:13; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Tutorial; ;1000;0;9,273682;06.11.2023 13:08:37; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Tutorial; ;1000;0;2,234131;06.11.2023 13:09:57; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1582141;Action Mode;Tutorial; ;1000;0;43,51465;06.11.2023 13:21:44; ; ;104;53;1;1;0,01886792;0;0; ;1;1;0;1; ;0;0;0;0; ;0;0;0;0; ;1;0;1;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;-70;930;0; ; ; ; ;58;51;8;0;0,1568628;0;0; ;4;4;0;1; ;0;0;0;0; ;4;4;0;1; ;0;0;0;0
 ; ;2;-80;850;0; ; ; ; ;17;11;0;0;0;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;3;-5;845;0; ; ; ; ;1;1;0;0;0;1;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;845;0; ; ; ; ;1;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;-30;815;0; ; ; ; ;7;4;0;0;0;0;0; ;1;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1582141;Action Mode;Final Sum; ;815;0;43,51465;06.11.2023 13:23:10; ; ;84;67;8;0;0,119403;0,797619;0; ;5;4;0;1; ;2;0;0;0; ;4;4;0;1; ;0;0;0;0
